Title,Price,Registration Date,Mileage,Fuel Type,Transmission,Engine Size,Doors,Colour,Body Type,URL,Sale Date
VW GOLF MATCH TDI 105,933.00,2008,111000,Diesel,Manual,1.9,5,Grey,Hatchback,https://www.ebay.co.uk/itm/114949047079?hash=item1ac37f4327:g:RFcAAOSwrwNhIq6E, 27 Aug 2021
Volkswagen Golf 1.6 Bluemotion tdi 2011 Black ,"3,200.00",2011,105600,Diesel,Manual,1.6,5,Black,Hatchback,https://www.ebay.co.uk/itm/165033001636?hash=item266cbbc2a4:g:~poAAOSwWl5hI7hN, 28 Aug 2021
VW Golf 1.4 TSI SE 2009 59 Reg Petrol manual 5 door Grey,"2,301.00",2009,121000,Petrol,Manual,1.4,5,Grey,Hatchback,https://www.ebay.co.uk/itm/144165012535?hash=item2190e78437:g:ZDgAAOSwJOphICx7, 28 Aug 2021
Grey 1.6 Petrol VW Golf. - In Great condition,900.00,2007,139957,Petrol,Manual,1.6,5,Grey,Hatchback,https://www.ebay.co.uk/itm/274918448340?hash=item40026a9cd4:g:0qIAAOSwA11hJLMO, 28 Aug 2021
VW Golf 1.4 Manual 2009 Petrol 5 door Grey,"3,350.00",2009,97500,Petrol,Manual,1.4,5,Grey,Hatchback,https://www.ebay.co.uk/itm/284424643087?hash=item423907a20f:g:A~cAAOSwAIhhFCRC, 28 Aug 2021
VW Golf Automatic  petrol 1.4,"1,200.00",2004,96000,Petrol,Automatic,1.4,5,Black,Hatchback,https://www.ebay.co.uk/itm/274912221526?hash=item40020b9956:g:l~gAAOSwqVphHnNr, 29 Aug 2021
Volkswagen Golf 1.2 TSI MK6 ,"2,207.00",2010,106000,Petrol,Manual,1.2,5,Silver,Hatchback,https://www.ebay.co.uk/itm/313651855166?hash=item49071b7f3e:g:DwkAAOSwgCphJ9xc, 29 Aug 2021
Vw golf mk4 1.6 Hatchback ,365.00,2004,108000,Petrol,Automatic,1.6,5,Silver,Hatchback,https://www.ebay.co.uk/itm/133862524356?hash=item1f2ad405c4:g:xisAAOSwDt5hK3wB, 29 Aug 2021
Volkwagen golf 2.0 TDI,"2,050.00",2009,121878,Diesel,Automatic,2,5,Black,Hatchback,https://www.ebay.co.uk/itm/124865630417?hash=item1d129250d1:g:0yMAAOSw9c5hAQbG, 29 Aug 2021
"2001 VW Golf 2.0 GTI MK4, Long MOT, Good bodywork",460.00,2001,188779,Petrol,Manual,2,3,Black,Hatchback,https://www.ebay.co.uk/itm/154583761895?hash=item23fde903e7:g:UR8AAOSwTJJhJibf, 30 Aug 2021
"2006 Volkswagen Golf 2.0 TDI Sport | 94,000 miles | FSH | NO RESERVE ",699.00,2006,94000,Diesel,Manual,2,5,Black,Hatchback,https://www.ebay.co.uk/itm/373700400458?hash=item570247954a:g:OCcAAOSwrmNhIl41, 30 Aug 2021
VW GOLF MATCH TDI 105,600.00,2008,111000,Diesel,Manual,1.9,5,Grey,Hatchback,https://www.ebay.co.uk/itm/114961969483?hash=item1ac444714b:g:RFcAAOSwrwNhIq6E, 31 Aug 2021
2004 mk5 Volkswagen golf 1.9tdi,475.00,2004,195700,Diesel,Manual,1.9,5,Grey,Hatchback,https://www.ebay.co.uk/itm/224584404063?hash=item344a460c5f:g:B8sAAOSw8adhJPsc, 31 Aug 2021
GOLF 2006 GT TSI 170 1.4 PETROL*FULL HISTORY LOW MILES*,"2,950.00",2006,87000,Petrol,Manual,1.4,5,Silver,Estate,https://www.ebay.co.uk/itm/165037906221?hash=item266d06992d:g:AH8AAOSwRlBhJ4dY, 31 Aug 2021
VW Golf GTI Mk5 125k Manual MOT FEB 2022,"2,100.00",2007,124000,Petrol,Manual,2,5,Silver,Hatchback,https://www.ebay.co.uk/itm/353640696060?hash=item5256a0c8fc:g:bXsAAOSwtr5gu3YQ, 31 Aug 2021
Golf 2.0 GTI MK4(No reserve),931.11,2004,109000,Petrol,Manual,2,3,Blue,Hatchback,https://www.ebay.co.uk/itm/384349771561?hash=item597d081729:g:u8sAAOSw~VFgwRZP, 31 Aug 2021
2007 VW Golf GT TDI ,"1,795.00",2007,26192,Diesel,Manual,2,5,Silver,Hatchback,https://www.ebay.co.uk/itm/124872840346?hash=item1d1300549a:g:TGQAAOSwdddhG2tU, 31 Aug 2021
VOLKSWAGEN GOLF GTI  1.8T,810.00,1999,90990,Petrol,Manual,1.8,5,Red,Hatchback,https://www.ebay.co.uk/itm/255112521430?hash=item3b65e426d6:g:uvEAAOSwvFhhEQFu, 31 Aug 2021
volkswagen golf 2.0 TDi Mark 5 140BHP,500.00,2006,168000,Diesel,Manual,2,5,Blue,Hatchback,https://www.ebay.co.uk/itm/174908852508?hash=item28b961491c:g:pNEAAOSwzEdhJoFN, 1 Sep 2021
